CB,Nombre,Charola,Posicion en Charola,Cantidad de Frentes,Altura,Ancho,Profundo
7502271154633,Chicharron de Cerdo Natural Bitz 120 gr,4,1,1,30.00 cm,16.00 cm,8.00 cm
7502294221763,CAFE SOLUBLE ANDATTI DESCAFEINADO 275G,4,1,1,21.20 cm,8.80 cm,10.10 cm
7502271155920,Cafe Soluble Andatti 275g,4,2,1,21.00 cm,9.80 cm,2.00 cm
7502294221626,Chicharron de Cerdo Intenso Bitz 120 gr.,4,2,1,30.00 cm,16.00 cm,8.00 cm
7501011167728,CHEETOS TORCIDITOS 240GR,4,3,1,32.00 cm,17.50 cm,7.00 cm
7502294221138,ACEITE VEGETAL LA POSADA 800 ML,4,3,1,23.80 cm,7.58 cm,2.00 cm
7500478007981,RUFFLES QUESO 185GR,4,4,1,32.00 cm,19.00 cm,8.00 cm
7501039121610,Aceite Comestible Nutrioli 850ml,4,4,1,26.00 cm,8.00 cm,2.00 cm
7501000266203,Papas Chips Barcel 170 gr bolsa con sal,4,5,1,31.00 cm,19.00 cm,5.00 cm
7501039121993,ACEITE NUTRIOLI 400 ML,4,5,1,21.30 cm,6.80 cm,2.00 cm
7500810018378,Takis Blue 75g,4,6,1,21.00 cm,12.50 cm,4.30 cm
7501039122099,Sabrosano Mantequila 850 ml,4,6,1,25.80 cm,7.20 cm,2.00 cm
7501052421391,Frijol La Sierra Chorizo 430 bolsa,4,7,1,18.90 cm,13.60 cm,2.00 cm
7501954908914,Frijol Pinto La Posada 900gr,4,8,1,15.50 cm,27.50 cm,3.50 cm
7501036620956,Papel Regio Rinde 4pz,5,1,1,20.00 cm,20.00 cm,11.50 cm
7502271154633,Chicharron de Cerdo Natural Bitz 120 gr,5,1,1,30.00 cm,16.00 cm,8.00 cm
7502294221626,Chicharron de Cerdo Intenso Bitz 120 gr.,5,2,1,30.00 cm,16.00 cm,8.00 cm
7506425645466,Higienico Suavel 325h 4rollos,5,2,1,19.60 cm,21.80 cm,11.60 cm
7501011167728,CHEETOS TORCIDITOS 240GR,5,3,1,32.00 cm,17.50 cm,7.00 cm
7506425622016,Higienico Cottonelle Elegance XL 252h,5,3,1,22.80 cm,22.20 cm,11.70 cm
7500478007981,RUFFLES QUESO 185GR,5,4,1,32.00 cm,19.00 cm,8.00 cm
7506425600748,Hig Petalo UltraJumbo 6s 234h,5,4,1,19.50 cm,26.00 cm,10.00 cm
7501000266203,Papas Chips Barcel 170 gr bolsa con sal,5,5,1,31.00 cm,19.00 cm,5.00 cm
7500810018378,Takis Blue 75g,5,6,1,21.00 cm,12.50 cm,4.30 cm
7501036620956,Papel Regio Rinde 4pz,6,1,1,20.00 cm,20.00 cm,11.50 cm
7502271155968,DETERGENTE AZALEA MULTIUSOS 800G,6,1,1,26.00 cm,18.00 cm,5.00 cm
7501954903698,PAPEL HIGIENICO AZALEA 4 ROLLOS 350 HOJAS,6,2,1,20.00 cm,22.00 cm,11.00 cm
7506425645466,Higienico Suavel 325h 4rollos,6,2,1,19.60 cm,21.80 cm,11.60 cm
7502271158891,PAPEL HIGIENICO AZALEA 4S CON AROMA,6,3,1,20.00 cm,22.00 cm,11.00 cm
7506425622016,Higienico Cottonelle Elegance XL 252h,6,3,1,22.80 cm,22.20 cm,11.70 cm
7502294220513,Papel Higiénico Azálea 6 Rollos 500 Hojas,6,4,1,20.00 cm,27.00 cm,19.00 cm
7506425600748,Hig Petalo UltraJumbo 6s 234h,6,4,1,19.50 cm,26.00 cm,10.00 cm
7501035908246,Aceite para bebe Baby Magic Mennen 100 ml bote,7,1,1,12.50 cm,5.20 cm,3.30 cm
7502271155968,DETERGENTE AZALEA MULTIUSOS 800G,7,1,1,26.00 cm,18.00 cm,5.00 cm
